Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,IS_indicator,Label,Label_var
0.853222896,0.853222896,0.588340719,0.673343322,0.391715384,0.236860775,0.472507889,0.649676832,0.163145895,0.762563533,0.819492382,0.224026743,0.346614477,0.213437843,0,-1.327053581,0.14169334
0.571229191,0.571229191,0.623407124,0.708671997,0.51116642,0.31770095,0.060502636,0.469093595,0.910916673,0.52341102,0.762589898,0.08148156,0.99137388,0.345682532,0,-1.59756213,0.005079028
0.343853215,0.343853215,0.428592685,0.994619645,0.813803576,0.716076465,0.702794329,0.893634275,0.319199689,0.990597073,0.220949384,0.144610231,0.496864137,0.817620803,0,0.228231261,0.557727599
0.853222896,0.853222896,0.588340719,0.673343322,0.391715384,0.236860775,0.472507889,0.649676832,0.163145895,0.762563533,0.819492382,0.224026743,0.346614477,0.213437843,1,-0.800055498,0.339423059
0.571229191,0.571229191,0.623407124,0.708671997,0.51116642,0.31770095,0.060502636,0.469093595,0.910916673,0.52341102,0.762589898,0.08148156,0.99137388,0.345682532,1,-1.408917068,0.020770045
0.343853215,0.343853215,0.428592685,0.994619645,0.813803576,0.716076465,0.702794329,0.893634275,0.319199689,0.990597073,0.220949384,0.144610231,0.496864137,0.817620803,1,-0.800212947,0.04774567
0.853222896,0.447319307,0.588340719,0.673343322,0.391715384,0.236860775,0.472507889,0.649676832,0.163145895,0.762563533,0.819492382,0.224026743,0.346614477,0.213437843,2,-0.906303706,0.004496556
0.571229191,0.932869648,0.623407124,0.708671997,0.51116642,0.31770095,0.060502636,0.469093595,0.910916673,0.52341102,0.762589898,0.08148156,0.99137388,0.345682532,2,-0.544096228,0.035606607
0.343853215,0.086027475,0.428592685,0.994619645,0.813803576,0.716076465,0.702794329,0.893634275,0.319199689,0.990597073,0.220949384,0.144610231,0.496864137,0.817620803,2,0.12561492,0.246688896
0.060421186,0.749062831,0.858355726,0.25294337,0.204585899,0.893499606,0.90382117,0.13591533,0.06249671,0.477924226,0.063511401,0.86822597,0.572448388,0.025837201,2,-0.725099885,0.015117952
