,Round,Arginine,Glutamine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophane,Tyrosine,Valine,Cystine,Choline,Calcium pantothenate,Folic acid,Niacinamide,Pyridoxal,Riboflavin,Thiamine,Inositol,CaCl2,MgSO4,KCl,NaHCO3,NaCl ,NaH2PO4,Glucose,FBS,mean A450,sd A450
0,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.30933333333333,0.197249982396844
1,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.0,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0289999999999999,0.00543650214343336
2,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.01,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.51933333333333,0.0572848632324067
3,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.25,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.15266666666666,0.502905557734252
4,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.0002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.58466666666666,0.0894315380612456
5,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.0,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.978,0.0942667609617633
6,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.006,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.891333333333333,0.170116300087779
7,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.001,0.0916666666666666,0.203705670024179
8,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.01,1.263,0.277794088410022
9,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.05,2.01466666666666,0.0685127725318426
10,0,0.0,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0543333333333331,0.00235702260395516
11,0,0.06,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.29466666666666,0.184804401101993
12,0,6.0,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,1.24466666666666,0.202469750827129
13,0,16.0,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.747333333333333,0.0708864506721057
14,0,0.6,0.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0,0.0114406682011536
15,0,0.6,0.2,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0899999999999998,0.0208059820457696
