,Round,Arginine,Glutamine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophane,Tyrosine,Valine,Cystine,Choline,Calcium pantothenate,Folic acid,Niacinamide,Pyridoxal,Riboflavin,Thiamine,Inositol,CaCl2,MgSO4,KCl,NaHCO3,NaCl ,NaH2PO4,Glucose,FBS,mean A450,sd A450
0,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.274333333333333,0.00590668171555643
1,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.0,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0316666666666666,0.00837987005998435
2,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.01,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.229666666666666,0.0103387082795138
3,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.25,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.348333333333333,0.0463129451545557
4,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.0002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.313999999999999,0.0466118725934355
5,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.0,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.243666666666666,0.0736221585001568
6,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.006,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.243999999999999,0.080311892021045
7,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.001,0.144,0.106445604261832
8,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.01,0.475,0.105852098073995
9,0,0.6,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.05,0.251,0.0390469802502916
10,0,0.0,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0766666666666666,0.0259401019444583
11,0,0.06,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.228999999999999,0.0562909110484691
12,0,6.0,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.272333333333333,0.059868374140461
13,0,16.0,2.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.110333333333333,0.0448131925020101
14,0,0.6,0.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0,0.0204015249974658
15,0,0.6,0.2,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.157333333333333,0.024004629183185
16,0,0.6,5.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.161,0.114493085671872
17,0,0.6,10.0,0.2,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.189666666666666,0.0464351399504967
18,0,0.6,2.0,0.0,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.182666666666666,0.06308900238728
19,0,0.6,2.0,0.02,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.237333333333333,0.0489648399931579
20,0,0.6,2.0,2.0,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.215999999999999,0.0299777695412227
21,0,0.6,2.0,10.0,0.4,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0583333333333332,0.0189267594221045
22,0,0.6,2.0,0.2,0.0,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.231999999999999,0.0504579032461714
23,0,0.6,2.0,0.2,0.04,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.312666666666666,0.0187320284243028
24,0,0.6,2.0,0.2,4.0,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.347666666666666,0.0117284080571727
25,0,0.6,2.0,0.2,10.0,0.4,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.280333333333333,0.125913550590165
26,0,0.6,2.0,0.2,0.4,0.0,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.253,0.028248893783651
27,0,0.6,2.0,0.2,0.4,0.04,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.250333333333333,0.154821043645738
28,0,0.6,2.0,0.2,0.4,4.0,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.296666666666666,0.08411103772197
29,0,0.6,2.0,0.2,0.4,10.0,0.4,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.488333333333333,0.0872633307230986
30,0,0.6,2.0,0.2,0.4,0.4,0.0,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.305333333333333,0.0696674641102685
31,0,0.6,2.0,0.2,0.4,0.4,0.04,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.238999999999999,0.0485271974143251
32,0,0.6,2.0,0.2,0.4,0.4,4.0,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.290666666666666,0.0692290882986817
33,0,0.6,2.0,0.2,0.4,0.4,16.0,0.1,0.2,0.4,0.05,0.2,0.4,0.1,0.007,0.002,0.002,0.008,0.005,0.0003,0.003,0.01,1.8,0.8,5.5,26.0,120.0,1.0,5.6,0.1,0.0786666666666667,0.0290631496343164
