,exp #,gen #,CHIR99021,SP600125,Dexameth,rhGM-CSF,rhSCF,rhIGF-1,AA,Y27632,ALB,FN,GL,CH,ITS,bME,PY,rep ct #1,rep ct #2,rep ct #3,rep ct #4,mean (rep ct),PC fold chg,count threshold,normalized cell count,Col26 (mean+1),Col27 (log Col26),Residual Col27 Exp#1,Residual Col27 Exp#2,Residual Col27 Exp#3,Col32 (log foldchg w/ +threshold),Col33 (std dev),Col34 (Col32+noise),Penicillin (units/mL),Streptomycin (µg/mL),CHIR99021 (µM),SP600125 (µM),Dexamethasone (nM),Recombinant Human GM-CSF (rhGM-CSF) (ng/mL),Recombinant Human SCF (rhSCF) (ng/mL),Recombinant Human IGF-1 (rhIGF-1) (ng/mL),Ascorbic Acid (AA) (µM),Y27632 (µM),Albumin (ALB) (mg/mL),Fibronectin (FN) (µg/mL),GlutaMAX Supplement (GL) (mM),Cholesterol Concentrate (CH) (µg/mL),ITS Supplement,Sodium Pyruvate (PY) (mM),β-mercaptoethanol (bME) (µM),CHIR Component A (µM),CHIR Component B (µM),SP600125 Active (µM),SP600125 Inactive (µM),Dex Active (nM),Dex Inactive (nM),IGF-1 Active (ng/mL),IGF-1 Inactive (ng/mL),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),bME Active (µM),bME Inactive (µM)
0,1,1,3,1,3,3,5,2,3,3,2,3,1,2,2,2,3,2450.0,2316.666667,3166.666667,4116.666667,3012.50000025,11.79277778,50.0,255.4529608248075,3013.50000025,3.4790711958399596,-0.8001195769377301,,,-0.6900151616476398,0.4980266,-0.6900151616476398,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
1,1,1,1,2,1,4,2,5,4,4,0,1,2,1,1,3,3,5933.333333,4216.666667,5150.0,6016.666667,5329.16666675,11.79277778,50.0,451.90088087541324,5330.16666675,3.7267407890112216,-0.5078393624248103,,,-0.44537625849413887,0.4980266,-0.44537625849413887,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
2,1,1,3,3,5,4,5,3,5,1,1,0,1,0,1,2,2,3366.666667,1633.333333,2283.333333,1866.666667,2287.5,11.79277778,50.0,193.97465488406752,2288.5,3.359550916763318,-0.06894357875817958,,,-0.8073396395111259,0.4980266,-0.8073396395111259,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
3,1,1,1,5,2,1,5,0,5,1,5,4,2,3,2,1,0,0.0,0.0,0.0,0.0,0.0,11.79277778,50.0,0.0,1.0,0.0,-0.7027733827417598,,,-2.4771212547196626,0.4980266,-0.39984440254942566,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
4,1,1,3,1,4,0,5,2,1,2,2,5,5,3,0,1,1,50.0,16.66666667,33.33333333,16.66666667,29.1666666675,11.79277778,50.0,2.4732651807418353,30.1666666675,1.479527324497538,-0.33427130085959345,,,-2.277548899809887,0.4980266,-2.277548899809887,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
5,1,1,4,3,5,3,2,5,4,3,1,2,4,3,0,2,3,0.0,0.0,0.0,0.0,0.0,11.79277778,50.0,0.0,1.0,0.0,-2.5205449354390694,,,-2.4771212547196626,0.4980266,-0.42826535236355623,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
6,1,1,4,2,3,3,1,0,1,3,4,1,2,1,2,3,1,16.66666667,33.33333333,66.66666667,0.0,29.1666666675,11.79277778,50.0,2.4732651807418353,30.1666666675,1.479527324497538,-1.967356060576156,,,-2.277548899809887,0.4980266,-2.277548899809887,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
7,1,1,1,4,5,3,3,5,2,3,3,3,3,1,2,0,2,1066.666667,866.6666667,966.6666667,1050.0,987.5000001,11.79277778,50.0,83.73769255406083,988.5000001,2.9949766736936256,-0.7579508109127531,,,-1.1601031536296913,0.4980266,-1.1601031536296913,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
8,1,1,3,5,4,4,5,0,2,4,1,2,1,1,2,0,2,0.0,0.0,0.0,0.0,0.0,11.79277778,50.0,0.0,1.0,0.0,-1.030684491243319,,,-2.4771212547196626,0.4980266,-0.696781302338489,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
9,1,1,2,1,4,4,4,1,2,5,5,2,5,2,3,2,1,127916.6667,114716.6667,128250.0,134166.6667,126262.500025,11.79277778,50.0,10706.76496924544,126263.500025,5.101277823803913,-0.440694058529723,,,0.9253550718896543,0.4980266,0.9253550718896543,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
10,1,1,3,3,2,2,4,2,0,0,1,5,5,2,1,1,1,66.66666667,50.0,16.66666667,33.33333333,41.666666667499996,11.79277778,50.0,3.533235972458051,42.666666667499996,1.6300887149366883,-0.8307050313893631,,,-2.2138798199411327,0.4980266,-2.2138798199411327,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
11,1,1,2,1,2,3,3,4,4,4,5,2,2,4,3,1,3,14466.66667,14433.33333,13750.0,16316.66667,14741.6666675,11.79277778,50.0,1250.0588871013222,14742.6666675,4.168576046225419,0.029428454879595556,,,-0.006074147687725904,0.4980266,-0.006074147687725904,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
12,1,1,5,4,4,4,4,5,1,2,5,1,5,3,2,0,0,83.33333333,83.33333333,33.33333333,66.66666667,66.666666665,11.79277778,50.0,5.6531775556784885,67.666666665,1.8303747831828536,-1.0303486198157583,,,-2.109144469431272,0.4980266,-2.109144469431272,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
13,1,1,5,1,2,2,2,0,4,3,2,5,3,4,2,3,2,16.66666667,0.0,0.0,0.0,4.1666666675,11.79277778,50.0,0.35332359730940344,5.1666666675,0.7132104435206765,-0.3383301947975259,,,-2.442359148453769,0.4980266,-2.442359148453769,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
14,1,1,2,3,5,2,4,4,2,3,1,2,5,1,2,3,3,4900.0,7133.333333,5950.0,6433.333333,6104.166666499999,11.79277778,50.0,517.6190699406192,6105.166666499999,3.7856975243584223,0.05136307234654769,,,-0.3869220054670993,0.4980266,-0.3869220054670993,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
15,1,1,2,5,1,5,0,4,4,0,5,2,5,2,3,1,3,50.0,83.33333333,83.33333333,0.0,54.16666666500001,11.79277778,50.0,4.593206763962274,55.16666666500001,1.7416767433789544,-1.2977688558166327,,,-2.1583624921021984,0.4980266,-2.1583624921021984,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
16,1,1,5,0,5,4,1,1,2,5,2,4,5,3,1,3,2,0.0,0.0,16.66666667,0.0,4.1666666675,11.79277778,50.0,0.35332359730940344,5.1666666675,0.7132104435206765,-1.3945224997995365,,,-2.442359148453769,0.4980266,-2.442359148453769,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
17,1,1,4,2,4,3,5,1,1,3,0,5,3,0,2,3,1,0.0,66.66666667,33.33333333,16.66666667,29.1666666675,11.79277778,50.0,2.4732651807418353,30.1666666675,1.479527324497538,-0.09858184112368806,,,-2.277548899809887,0.4980266,-2.277548899809887,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
18,1,1,1,4,4,1,1,2,2,2,0,4,5,1,1,2,1,16.66666667,0.0,0.0,16.66666667,8.333333335,11.79277778,50.0,0.7066471946188069,9.333333335,0.9700367767001093,-1.32747955944396,,,-2.410174465076641,0.4980266,-2.410174465076641,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
19,1,1,5,4,2,3,1,5,2,2,3,3,4,1,2,3,3,0.0,83.33333333,33.33333333,0.0,29.166666665,11.79277778,50.0,2.4732651805298413,30.166666665,1.4795273244615468,-0.006060146731137639,,,-2.2775488998236013,0.4980266,-2.2775488998236013,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
20,1,1,3,1,4,4,5,5,2,1,0,5,4,1,3,1,3,800.0,1350.0,2100.0,2183.333333,1608.3333332500001,11.79277778,50.0,136.38290852708667,1609.3333332500001,3.206646006683161,-0.29161899552540227,,,-0.9564194287154233,0.4980266,-0.9564194287154233,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
21,1,1,4,1,5,0,1,2,0,4,5,4,0,1,2,1,1,66.66666667,0.0,33.33333333,0.0,25.0,11.79277778,50.0,2.119941583432432,26.0,1.414973347970818,-1.0917359236806343,,,-2.3010299956639813,0.4980266,-2.3010299956639813,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
22,1,1,2,2,0,4,5,5,1,1,5,1,3,1,1,1,2,215850.0,224700.0,231166.6667,226550.0,224566.666675,11.79277778,50.0,19042.728597485704,224567.666675,5.351347226567114,-0.04706462691715352,,,1.175350718944721,0.4980266,1.175350718944721,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
23,1,1,2,5,2,5,2,4,3,5,2,1,2,1,3,0,0,16.66666667,0.0,33.33333333,33.33333333,20.8333333325,11.79277778,50.0,1.7666179861230287,21.8333333325,1.3391200452555445,-0.02668336928551418,,,-2.325853579394123,0.4980266,-2.325853579394123,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
24,1,1,5,0,1,5,3,4,2,5,2,0,3,1,3,1,3,0.0,0.0,16.66666667,0.0,4.1666666675,11.79277778,50.0,0.35332359730940344,5.1666666675,0.7132104435206765,-1.990789252901058,,,-2.442359148453769,0.4980266,-2.442359148453769,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
25,1,1,5,4,5,2,2,1,2,4,1,0,2,2,3,3,3,16.66666667,16.66666667,0.0,0.0,8.333333335,11.79277778,50.0,0.7066471946188069,9.333333335,0.9700367767001093,-0.03508117129374655,,,-2.410174465076641,0.4980266,-2.410174465076641,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
26,1,1,3,4,3,0,1,2,5,0,0,2,0,3,3,0,3,0.0,0.0,0.0,0.0,0.0,11.79277778,50.0,0.0,1.0,0.0,-0.6687378153898301,,,-2.4771212547196626,0.4980266,-0.6507920095368016,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
27,1,1,3,3,1,5,1,2,3,5,2,4,1,2,2,2,1,500.0,366.6666667,600.0,683.3333333,537.5,11.79277778,50.0,45.578744043797286,538.5,2.7311857076340003,-0.4174412654229478,,,-1.4070833881119074,0.4980266,-1.4070833881119074,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
