,exp#,gen #,bME,LS1000,PY,ITS,ALB,MEMAA,ARG,GLU,CB6,IL-2,IL-12,IL-18,IL-21,VS,Cell count,FoldChg,PosCont FC,PC-norm FC,log foldchg,Penicillin (units/mL),Streptomycin (µg/mL),Human Serum Albumin (HSA) (mg/mL),CD3/CD28/CD2 Activator,Sodium Pyruvate (PY) (mM),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),MEM Non-Essential Amino Acids (MEMAA) (mM),L-Arginine (ARG) (mM),SG-200 Solution (GLU) (mM),IL-2 (IU/mL),IL-12 (ng/mL),IL-18 (ng/mL),IL-21 (ng/mL),MEM Vitamin Solution (VS),PY Component 1 (mM),PY Component 2 (mM),HSA Fraction 1 (mg/mL),HSA Fraction 2 (mg/mL),Vitamin A (fraction),Vitamin B (fraction)
0,1,1,5,3,4,2,3,3,2,2,2,3,4,4,1,2,1851.666667,0.03703333334,2.430233333,0.015238591635266655,-1.8170551690394452,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
1,1,1,3,2,4,0,0,1,4,3,2,2,1,1,1,1,1350.0,0.027,2.430233333,0.011110044304540037,-1.9542842091798438,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
2,1,1,2,2,3,3,3,2,0,2,3,3,1,3,1,3,6805.0,0.1361,2.430233333,0.056002852957329596,-1.2517898481354963,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
3,1,1,5,2,3,1,1,1,0,5,0,4,3,1,3,2,4408.333333,0.08816666665999999,2.430233333,0.036279095288007886,-1.440343551720128,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
4,1,1,5,0,1,2,0,1,5,1,0,2,3,2,1,0,1073.333333,0.02146666666,2.430233333,0.008833171024570093,-2.0538833608335554,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
5,1,1,1,2,4,2,1,3,4,2,0,2,1,3,4,0,4800.0,0.096,2.430233333,0.03950237974947569,-1.4033767402992627,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
6,1,1,5,3,5,1,3,2,3,1,2,1,2,3,0,3,681.6666667,0.013633333333999999,2.430233333,0.005609886568863056,-2.251045920029915,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
7,1,1,5,3,1,2,3,2,2,5,0,0,3,3,0,0,29235.0,0.5847,2.430233333,0.24059418166165036,-0.6187148795015472,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
8,1,1,3,5,0,3,3,3,2,4,3,2,0,4,2,1,25263.33333,0.5052666666000001,2.430233333,0.20790870561234298,-0.6821273253859638,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
9,1,1,2,5,4,2,0,3,2,3,1,3,3,2,2,1,1695.0,0.0339,2.430233333,0.013949277849033602,-1.855448275135749,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
10,1,1,3,2,0,1,1,3,4,0,1,4,0,0,0,1,2521.666667,0.05043333334,2.430233333,0.020752465475297636,-1.6829302999778983,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
